o:id,o:resource_template,o:resource_class,o:owner,o:is_public,dcterms:title,dcterms:type,dcterms:identifier,dcterms:created,dcterms:isPartOf,dcterms:dateSubmitted,rdfs:comment,crm:P15_was_influenced_by,crm:P43_has_dimension,crm:P44_has_condition,crm:P62_depicts,crm:P65_shows_visual_item,crm:P94i_was_created_by,rico:documentedBy,rico:hasOrHadPhysicalLocation,rico:hasOrHadSubject,rico:isOrWasIncludedIn,rico:descriptiveNote,rico:measure,schema:material
25516,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Marc Seguin,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-68 sculpture,IMVRG00210,1880,,2021-09-24,Copie en plâtre patiné façon bronze du buste en marbre présenté dans la serre (IMVRG00094),,,Bon état. Légère incision et écaillage de la peinture au niveau du nœud du foulard,,,http://viaf.org/viaf/32141025 Eugène Guillaume,,Maison [bibliothèque scientifique],,25295,"Sur l'œuvre ; d'origine
signature et date sur le côté : Eug. GVILLAUME. 1880
inscription sur la face : MARC SEGUIN CORRESPONDANT DE L'INSTITUT / Inventeur de la locomotive à grande vitesse 1828 / 1786-1875",81 cm (hauteur) x 58 cm (largeur) x 26 cm (profondeur),"plâtre: moulé, bronziné"
25515,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Nuancier de couleurs pour peindre la porcelaine et la faïence,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-12 céramique,IMVRG00209,1875/1900,,2021-09-24,,,,Défectueux,,,,,Maison [atelier],,25282,,"20,3 cm (hauteur) x 20,3 cm (largeur) x 1 cm (profondeur)","faïence: peinte, cuite"
25514,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Instrument de démonstration en optique : loupe sur bras articulé,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-143 optique,IMVRG00208,1895/1905,,2021-09-24,,,,Bon état,,,,,Maison [atelier],,25282,,16 cm (hauteur) x 16 cm (largeur) x 10 cm (profondeur),acier | aluminium (?) | verre
25513,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Aérostat ; caravane dans le désert,http://data.culture.fr/thesaurus/page/ark:/67717/T516-234 pyrogravure,IMVRG00207,1875/1900,,2021-09-24,,,,Bon état,scène,recto: aérostat | oiseau | verso: méharée,,,Maison [atelier],,25286,,"15,3 cm (hauteur) x 20 cm (largeur) , 1 cm (épaisseur)",bois: pyrogravé
25512,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Support de dessin n° 3,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-53 menuiserie,IMVRG00206,1875/1900,,2021-09-24,,,,Bon état,,,,,Maison [atelier],,25282,,23 cm (hauteur). Diamètre: 23 cm,"bois: tourné, peint"
25511,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Support de dessin n° 2,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-53 menuiserie,IMVRG00205,1875/1900,,2021-09-23,,,,Bon état,,,,,Maison [atelier],,25282,,"14 cm (hauteur) x 24,5 cm (largeur) x 8 cm (profondeur)",bois: tourné
25510,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Support de dessin n° 1,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-53 menuiserie,IMVRG00204,1875/1900,,2021-09-23,,,,Bon état,,,,,Maison [atelier],,25282,,"31,5 cm (hauteur). Diamètre: 16,5 cm. Diamètre: 14,5 cm",bois: tourné
25509,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Boîte d'aquarelle,http://data.culture.fr/thesaurus/resource/ark:/67717/T96-914 cartonnerie,IMVRG00203,1875/1900,,2021-09-23,,,,État passable. Usures d'usage,,,,,Maison [atelier],,25282,,9 cm (hauteur) x 37 cm (largeur) x 28 cm (profondeur),"carton: bouilli, laqué"
25508,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Boîte à dessin de Marie Seguin dite Minette,http://data.culture.fr/thesaurus/resource/ark:/67717/T96-914 cartonnerie,IMVRG00202,1875/1900,,2021-09-23,"Il s'agit de la boîte à dessin de Marie Seguin, dite Minette",,,État passable. Couvercle : angles défaits,,,,,Maison [atelier],,25282,,13 cm (hauteur) x 37 cm (largeur) x 28 cm (profondeur),carton
25507,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Boîte d'aquarelle,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-31 ferblanterie,IMVRG00201,1875/1900,,2021-09-23,,,,Bon état,,,,,Maison [atelier],,25282,WINSOR & NEWTON 38 RATHRONE PLACE,"2,5 cm (hauteur) x 10,7 cm (largeur) x 6 cm (profondeur)","fer blanc: peint, noir, jaune"
25506,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Portrait d'homme,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-63 peinture,IMVRG00200,1875/1900,,2021-09-23,,,,État passable. Perforé au revers,personnage,homme,,,Maison [atelier],,25293,"Sur l'œuvre, d'origine, peint : MELLE YOULLEMIRO","11,5 cm (hauteur) x 9 cm (largeur)",papier | aquarelle
25505,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Buste de Trajan ; médaillon de Cecilia Francesci,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-68 sculpture,IMVRG00199,1875/1900,,2021-09-23,Figurine et médaillon rapportés de voyage en Italie par Augusin Seguin,,"buste ; médaillon : 8,5 cm (diamètre)",Bon état,personnage célèbre,Trajan | Cecilia Francesci,,,Maison [atelier],,25296,"Buste, au revers : TRAJANI / VIA DELLA Rco DI PARMA 15 ROMA ; médaillon, sur la face, en périphérie : CECILIA VIRGO FILIA IOHANNIS FRANCISCI PRIMI MARCHIONIS MANTUE",8 cm (hauteur) x 12 cm (largeur) x 9 cm (profondeur),plâtre: moulé
25504,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Tintin enfant,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-68 sculpture,IMVRG00198,1875/1900,,2021-09-23,"""Tintin enfant"" (soit Augustin, le fils d'Augustin Seguin)",,,Bon état,,,,,Maison [atelier],,25294,,17 cm (hauteur) x 15 cm (largeur),plâtre: moulé
25503,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Profil gauche de femme,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-68 sculpture,IMVRG00197,1875/1900,,2021-09-23,Ce moulage provient du moule présent dans l'atelier (IMVRG00171),,,"État passable. Matière fragile, très friable, à manipuler avec précaution",,,,,Maison [atelier],,25297,,30 cm (hauteur) x 22 cm (largeur),"terre: jaune, teintée, moulée"
25502,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Godet de peintre,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-31 ferblanterie | http://data.culture.fr/thesaurus/resource/ark:/67717/T262-12 céramique,IMVRG00196,1875/1900,,2021-09-23,,,"double godet : 4 cm (hauteur) x 12 cm (largeur) x 7 cm (profondeur); godet en verre octogonal : 2,5 cm (hauteur) ; 7 cm (largeur) x 4 godets en céramique : 4 cm (hauteur). Diamètre: 3 cm ; 4 godets assiette : 5,5 cm (diamètre) . Diamètre: 3,5 cm",,,,,,Maison [atelier],,25282,,10 cm (hauteur) x 62 cm (largeur) x 10 cm (profondeur),alliage cuivreux | céramique | verre | bois
25501,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Album de 41 dessins,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-20 dessin,IMVRG00195,1875/1900,,2021-09-23,"Croquis d'après nature de paysages, animaux, copies de peintures et sculptures, scènes de genre",,,Bon état,,,,,Maison [atelier],,25285,,"22 cm (hauteur) x 31,7 cm (largeur) x 2 cm (profondeur)",carton | papier: crayon graphite
25500,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Album de dessins,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-20 dessin,IMVRG00194,1875/1900,,2021-09-23,,,,Bon état,,,,,Maison [atelier],,25285,,"18 cm (hauteur) x 27 cm (largeur) x 1,5 cm (profondeur)",carton | papier
25499,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Ensemble de 3 panneaux décoratifs,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-20 dessin,IMVRG00193,1895/1905,,2021-09-23,Dessins inspirés de l'Art nouveau et de l'École de Nancy,,,État passable. Les bandes  sont conservés roulés ; déformations,personnage,femme,,,Maison [atelier],,25287,,"137 cm (hauteur) x 39,5 cm (largeur)",papier: peint
25498,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Panneau décoratif,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-63 peinture,IMVRG00192,1875/1900,,2021-09-23,"Cette œuvre a inspiré Augustin Seguin pour l'une des sculptures des 4 saisons, ""Le Printemps"" (IMVRG00092).
Élisabeth Sonrel (1874-1953) est une artiste peintre, fille du peintre Stéphane Sonrel. Élève du peintre Jules Lefebvre à l'École des Beaux-arts de Paris, elle expose au Salon des artistes français de 1893 à 1941. Portraits, scènes de la vie quotidienne bretonne, fleurs, héroïnes du Moyen Âge. (source : https://archives.sceaux.fr/sonrel-elisabeth)",,,État passable. Le panneau est conservé roulé ; déformations,allégorie,été,http://viaf.org/viaf/262223816 Élisabeth Sonrel,,Maison [atelier],,25287,,"137 cm (hauteur) x 39,5 cm (largeur)",papier: peint
25497,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Ensemble de 3 panneaux décoratifs,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-63 peinture,IMVRG00191,1875/1900,,2021-09-23,Trois panneaux sont peints à partir de chromolithographies commercialisées par le peintre Emilie Vouga (1840-1909),,,État passable. Les bandes et leur modèle sont conservés roulés ; déformations,animal,flamants roses | cygnes | grues,http://viaf.org/viaf/38153593890551672833 Emilie Vouga,,Maison [atelier],,25287,,"137 cm (hauteur) x 39,5 cm (largeur)",papier: peint
25496,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Silhouettes,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-20 dessin,IMVRG00190,1875/1900,,2021-09-23,,,,État passable. Déchirure,personnage,silhouette de jeunes gens,,,Maison [atelier],,25285,,22 cm (hauteur) x 15 cm (largeur),papier: découpé
25495,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,"71 dessins de Marie Seguin, dite Minette",http://data.culture.fr/thesaurus/resource/ark:/67717/T262-20 dessin,IMVRG00189,,,2021-09-23,"Port-folio de dessins de Marie Seguin, dite Minette. Il contient également quelques dessins de Paul Seguin et de Laurent Seguin. Ce sont des portraits de membres de la famille ou d’amis, des études d’après des modèles en plâtre ou peints, des travaux de dessins géométriques. Les dessins de Marie sont signés et datés 1894, 1895, 1896, 1897, 1898. L’ensemble comprend également six calques utilisés pour les peintures monumentales de la serre",,,État passable. Encrassement ; poussière,,,3928,,Maison [atelier (armoire TM3)],,25285,,50 cm (hauteur) x 70 cm (largeur),"papier: crayon graphite, sanguine, craie grasse"
25494,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,96 croquis d'étude,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-20 dessin,IMVRG00188,1875/1900,,2021-09-23,,,,État passable,,,,,Maison [atelier (armoire TM2)],,25285,,,"papier: crayon graphite, sanguine, craie grasse, gouache, aquarelle"
25493,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Recueil de 42 aquarelles,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-20 dessin,IMVRG00187,1875,,2021-09-23,,,,Bon état,,fleurs,,,Maison [atelier (armoire TM3)],,25285,,"21,5 cm (hauteur) x 32 cm (largeur) x 1,8 cm (profondeur)",carton | papier
25492,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Album n° 159 : 18 dessins,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-20 dessin,IMVRG00186,1881,,2021-09-23,"Différents sites visités, dont le Bois de Bouleyres, Moléson, 19 août 1881 (Suisse romande)",,,Bon état,,,,,Maison [atelier (armoire TM3)],,25285,,"23,2 cm (hauteur) x 30,5 cm (largeur) x 2 cm (profondeur)",carton | papier
25491,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Dessin,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-20 dessin,IMVRG00185,1875/1900,,2021-09-23,"Étude de la Vénus callipyge, moulage présent dans la collection (IMVRG00163)",,,État passable. Encrassement ; poussière,,"Au recto et au verso, croquis de sculptures, étude de drapé",,,Maison [atelier (armoire TM1)],,25285,,54 cm (hauteur) x 45 cm (largeur),carton
25490,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Album de 164 dessins,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-20 dessin,IMVRG00184,1896,,2021-09-23,"Dessins d'œuvres d'art observées par leur auteur en 1896, à Florence au musée des Offices, au palais du Bargello, à l'Académie des Beaux-arts, au musée du Duomo, à Sainte-Marie-Nouvelle, chapelle Brancacci au couvent des Carme, Sainte-Croix, sacristie de San Lorenzo, Or San Michele",,,État passable. Encrassement ; poussière,,,,,Maison [atelier (armoire TM1)],,25285,,"38 cm (hauteur) x 50,5 cm (largeur) x 4 cm (profondeur)",papier | crayon graphite
25489,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Escabeau,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-53 menuiserie,IMVRG00183,1875/1900,,2021-09-23,,,,Bon état,,,,,Maison [atelier],,25282,,102 cm (hauteur) x 70 cm (largeur) x 150 cm (profondeur),bois feuillu indigène
25488,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Auguste Seguin (?),http://data.culture.fr/thesaurus/resource/ark:/67717/T262-68 sculpture,IMVRG00182,1875/1900,,2021-09-22,"Il s'agit peut-être d'Auguste Seguin (autre buste signé d'Augustin Seguin, daté 1904 : IMVRG00144)",,,Bon état,personnage célèbre,,,,Maison [atelier (soupente)],,25294,,82 cm (hauteur) x 49 cm (largeur) x 32 cm (profondeur),"plâtre: moulé, peint"
25487,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Aphrodite accroupie (moulage),http://data.culture.fr/thesaurus/resource/ark:/67717/T262-68 sculpture,IMVRG00181,1875/1900,,2021-09-22,"Copie en plâtre d'une statue en marbre (musée du Louvre, département des Antiquités grecques, étrusques et romaines, n° Ma 53), datée du 2e quart du 3e siècle avant J.-C. (permalien : https://collections.louvre.fr/ark:/53355/cl010278737).
Voir aussi le site des Ateliers d'art des musées nationaux : https://ateliersartmuseesnationaux.fr/fr/sculptures/PB002038?guid=61669b62df51b",,,"État passable. Statue brisée, recollée",personnage,Aphrodite,,,Maison [atelier (soupente)],,25296,,78 cm (hauteur) x 38 cm (largeur) x 29 cm (profondeur),"plâtre: moulé, peint"
25486,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Femme : printemps,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-68 sculpture,IMVRG00180,1875/1900,,2021-09-22,"Il s'agit d'une des premières statues modelées par Augustin Seguin à la fin du 19e siècle, présentée au salon des Beaux-arts de Lyon (information orale)",,,Défectueux. Manque le bas de la statue,personnage | allégorie,,3955,,Maison [atelier (soupente)],,25294,,129 cm (hauteur) x 45 cm (largeur) x 48 cm (profondeur),"plâtre: moulé, peint"
25485,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,"Apollon, dit du Belvédère (moulage)",http://data.culture.fr/thesaurus/resource/ark:/67717/T262-68 sculpture,IMVRG00179,1875/1900,,2021-09-22,"Il s'agit d'une copie en réduction selon le procédé Collas, d'une sculpture antique en marbre - elle-même une copie romaine d'un original grec - conservée aux musées du Vatican.
La réduction est une copie à plus petite échelle de l'œuvre sculptée. La réduction mécanique est exécutée à l'aide d'un pantographe. Le pantographe des sculpteurs résulte de l'aménagement en 1837 du pantographe des dessinateurs par Achille Collas (1785-1859). Ce dernier combine les organes de l'instrument initial de façon à obtenir dans l'espace une surface semblable à une surface donnée, en supprimant mécaniquement de la matière dans une masse de plâtre mou ou d'argile humide. Si le premier appareil ne pouvait reproduire que des bas-reliefs, les suivants ont permis d'exécuter des rondes-bosses, au 50e de millimètre près. Les œuvres alors reproduites étaient puisées dans le répertoire de l'Antiquité ou du 18e siècle. Ces réductions servaient généralement de modèle dans la technique de la fonte. Assez souvent les bronzes du 19e siècle portent comme inscription : ""réduction mécanique A. Collas, breveté A. Coysevox 1709, Barbedienne fondeur"" (source : Marie-Thérèse Baudry, Dominique Bozo (coll.), Sculpture : méthode et vocabulaire. Coll. Principes d'analyse scientifique. Imprimerie nationale éditions, Monum' Éditions du patrimoine, 6e édition 2005, p. 81).
Voir aussi le site des Atelirs d'art des musées nationaux : https://ateliersartmuseesnationaux.fr/fr/sculptures/PB002055?guid=61669b62df51b",http://viaf.org/viaf/95987713 Agasias d’Éphèse,,Bon état,personnage mythique,"Apollon: en pied, drapé",http://viaf.org/viaf/42105426 Achille Collas,,Maison [atelier (soupente)],,25296,PROCÉDÉ MÉCANIQUE COLLAS,87 cm (hauteur) x 60 cm (largeur) x 32 cm (profondeur),"plâtre: moulé, peint"
25484,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Jeune femme,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-68 sculpture,IMVRG00178,1875/1900,,2021-09-22,,,,État passable,femme,buste de femme,,,Maison [atelier (soupente)],,25296,,67 cm (hauteur) x 38 cm (largeur) x 20 cm (profondeur),"plâtre: moulé, patiné terre cuite"
25483,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Gladiateur Borghese (moulage),http://data.culture.fr/thesaurus/resource/ark:/67717/T262-68 sculpture,IMVRG00177,1875/1900,,2021-09-22,"Copie de l'œuvre de Agasias, en marbre du Pentelique, d'un gladiateur dit Gladiateur Borghese ; la statue est conservée au musée du Louve, département des Antiquités grecques, étrusques et romaines, catalogue n° Ma 527 (Permalien : https://collections.louvre.fr/ark:/53355/cl010278706).
Voir aussi le site des Ateliers d'art des musées nationaux : https://ateliersartmuseesnationaux.fr/fr/sculptures/PB002101?guid=61669b62df51b",http://viaf.org/viaf/95987713 Agasias d’Éphèse,,"Défectueux. Le bras gauche est brisé, mais présent",personnage,discobole,http://viaf.org/viaf/42105426 Achille Collas,,Maison [atelier (soupente)],,25296,PROCÉDÉ MÉCANIQUE COLLAS,70 cm (hauteur) x 54 cm (largeur) x 28 cm (profondeur),"plâtre: moulé, peint"
25482,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Outil de sculpteur : compas,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-31 ferblanterie,IMVRG00176,1875/1900,,2021-09-22,,,ciseau : 72 cm (hauteur) x 36 cm (largeur),État passable,,,,,Maison [atelier (armoire PLG)],,25282,,"59,5 cm (hauteur) x 5,5 cm (largeur)",fer blanc
25481,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Jeune fille de profil,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-68 sculpture,IMVRG00175,1875/1900,,2021-09-22,,,,Bon état,,,3955,,Maison [atelier (armoire ETD)],,25294,,Diamètre: 16 cm,"plâtre: moulé, peint"
25480,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,"2 bustes : Jeune fille, bébé",http://data.culture.fr/thesaurus/resource/ark:/67717/T262-68 sculpture,IMVRG00174,1875/1900,,2021-09-22,,,bébé : 38 cm (hauteur) x 23 cm (largeur) x 17 cm (profondeur),Bon état,,,3955,,Maison [atelier (armoire ETD)],,25294,,37 cm (hauteur) x 25 cm (largeur) x 16 cm (profondeur),terre: argile | cire | huile
25479,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Jeune enfant couché,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-68 sculpture,IMVRG00173,1875/1900,,2021-09-22,,,,Bon état,personnage,enfant,,,Maison [atelier (armoire ETD)],,25296,,12 cm (hauteur) x 21 cm (largeur) x 12 cm (profondeur),"plâtre: moulé, peint"
25478,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Ensemble de 25 figurines,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-68 sculpture,IMVRG00172,1875/1900,,2021-09-22,"Ce sont des répliques de figurines ou statues antiques ou modernes, mais aussi des esquisses faites par Augustin Seguin.
Le petit groupe sculpté ""Combat d'Hercule et Antée"" s'inspire du bronze fondu vers 1470 par Antonio del Pollaiuolo, qu'Augustin a vu et croqué lors de son voyage en Italie, à Florence au musée national du Bargello.
L'esquisse sculptée ""Vierge à l'Enfant"" est la préparation à la réalisation du groupe sculpté (IMVRG00018) placé dans le chœur de la chapelle",,la plus grande ; la plus petite : 18 cm (hauteur),"Défectueux. Nombreux manques, cassures ; encrassement ; poussière",personnage,Hercule | Antée | combat | Vierge à l'Enfant,3955,,Maison [atelier (armoire ETD)],,25296,,35 cm (hauteur),"plâtre: moulé, patiné, peint"
25477,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Profil de femme,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-68 sculpture,IMVRG00171,1875/1900,,2021-09-22,À partir de ce moule a été produit un moulage (IMVRG00197),,,Bon état,personnage,Femme: de profil,3955,,Maison [atelier (armoire ETM)],,25297,,39 cm (hauteur) x 25 cm (largeur) x 6 cm (profondeur),plâtre: moulage
25476,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Ensemble de 4 médaillons : profil de Louise,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-68 sculpture,IMVRG00170,1875/1900,,2021-09-22,,,,Bon état,personnage,jeune fille: de profil,3955,,Maison [atelier (armoire ETM)],,25294,"Au revers, graphite : MEDAILLON LOUISE",6 cm (profondeur). Diamètre: 23 cm,plâtre: moulé
25475,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Jeune fille de profil,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-68 sculpture,IMVRG00169,1875/1900,,2021-09-22,,,,Bon état,personnage,jeune fille: de profil,3955,,Maison [atelier (armoire ETM)],,25297,,Diamètre: 27 cm,plâtre: moulage
25474,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Jeune fille de profil,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-68 sculpture,IMVRG00168,1895,,2021-09-22,,,,Bon état,personnage,jeune fille: de profil,3955,,Maison [atelier (armoire ETM)],,25294,J.O. MOMBUZ 1895,15 cm (épaisseur). Diamètre: 26 cm,plâtre: moulé peint
25473,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Jeune femme à chignon,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-68 sculpture,IMVRG00167,1903,,2021-09-22,,,,Bon état,personnage,jeune femme,3955,,Maison [atelier (armoire ETM)],,25294,A. SEGUIN 1903,50 cm (hauteur) x 27 cm (largeur) x 17 cm (profondeur),"terre: modelée, cuite"
25472,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Jeune femme,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-68 sculpture,IMVRG00166,1904,,2021-09-22,,,,Bon état,personnage,jeune femme,3955,,Maison [atelier (armoire ETM)],,25294,A. SEGUIN 1904,46 cm (hauteur) x 25 cm (largeur) x 15 cm (profondeur),"terre: modelée, cuite"
25471,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Jeune fille,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-68 sculpture,IMVRG00165,1875/1900,,2021-09-22,,,,Bon état,personnage,jeune fille,3955,,Maison [atelier (armoire ETM)],,25294,,49 cm (hauteur) x 28 cm (largeur) x 44 cm (profondeur),"terre: modelée, cuite"
25470,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Jambe gauche,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-68 sculpture,IMVRG00164,1875/1900,,2021-09-22,"Il s'agit de la jambe gauche chaussée de la statue Diane de Versailles, dite aussi Diane chasseresse, sculpture conservée au musée du Louvre",,,Bon état,corps humain,jambe gauche | cothurne,,,Maison [atelier (armoire ETG)],,25296,,80 cm (hauteur) x 15 cm (largeur) x 34 cm (profondeur),"plâtre: moulé, peint"
25469,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Vénus callipyge (moulage),http://data.culture.fr/thesaurus/resource/ark:/67717/T262-68 sculpture,IMVRG00163,1875/1900,,2021-09-22,"Copie de la sculpture de Lepère, conservée au Louvre (département des sculptures, inventaire ENT 1997.13). Le moulage figure encore au catalogue des Ateliers d'art des musées nationaux.
Alfred Adolphe Lepère (Paris, 1827-Bourg-La-Reine, 1904), élève des sculpteurs Étienne Ramey, Armand Toussaint, Augustin Dumont et du peintre Charles Gleyre. Prix de Rome en 1852 avec Philoctète blessé à Lemnos s'abandonnant à la douleur. Présent au salon de 1859 (sculpture et peinture)","Lepère Alfred Adolphe (sculpteur, Paris)",,Bon état,personnage,jeune femme,,,Maison [atelier (armoire ETG)],,25296,,61 cm (hauteur) x 20 cm (largeur) x 22 cm (profondeur),"plâtre: moulé, peint"
25468,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Antinoüs du Capitole (moulage),http://data.culture.fr/thesaurus/resource/ark:/67717/T262-68 sculpture,IMVRG00162,1875/1900,,2021-09-22,"Copie en plâtre d'une statue en marbre de Luni (Rome, musée du Capitole, numéro d'inventaire Rép A, I, 584/4, C, 210), vers 130, retrouvée en 1738 lors des fouilles de la villa d'Hadrien à Tivoli.
Voir aussi le site des Ateliers d'art des musées nationaux",,,Bon état,personnage,jeune homme,,,Maison [atelier (armoire ETG)],,25296,,63 cm (hauteur) x 24 cm (largeur) x 18 cm (profondeur),"plâtre: moulé, peint"
25467,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,3 bustes : jeune femme aux fleurs,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-68 sculpture,IMVRG00161,1875/1900,,2021-09-22,,,,Bon état,,,3955,,Maison [atelier (armoire ETG)],,25294,,36 cm (hauteur) x 31 cm (largeur) x 17 cm (profondeur),"plâtre: moulé, peint"
