Class,rico:identifier,rico:hasRecordSetType,rico:title,rico:descriptiveNote,rico:dateInterv,rico:dateRaw,rico:hasCreatorRef,rico:hasCreatorNotRef,rico:hasReceiverRef,rico:hasReceiverNotRef,rico:hasPublisher,rico:isOrWasIncludedIn,rico:hasOrHadPhysicalLocation,crm:P44_has_condition
rico:Record,B13.2.2/62,,,"Lettre d'Augustine Seguin à sa fille Paula à propos de la ven ue de tante pauline, d'Alphonse et sa femme, de la chute d'Étienne quin l'empêche de marcher",1869-09-02/1870-09-02,,REFPERS0016,,REFPERS0020,,,B13.2.2,,
rico:Record,B13.2.2/63,,,Lettre d'Augustine Seguin à sa fille Paula à propos de la fièvre de Marc (petit-fils),1869-06-02/1870-06-02,,REFPERS0016,,REFPERS0020,,,B13.2.2,,
rico:Record,B13.2.2/64,,,Lettre d'Augustine Seguin à sa fille Paula à propos de la guerre,1869/1870,,REFPERS0016,,REFPERS0020,,,B13.2.2,,
rico:Record,B13.2.2/65,,,Lettre d'Augustine Seguin à sa fille Paula à propos de diverses nouvelles de la famille,1869/1870,,REFPERS0016,,REFPERS0020,,,B13.2.2,,
rico:Record,B13.2.2/66,,,"Lettre d'Augustine Seguin à sa fille Paula à propos d'un malheur, du voyage d'Étienne et d'aumônes aux Sainte-Claire de Lyon",1869/1870,,REFPERS0016,,REFPERS0020,,,B13.2.2,,
rico:Record,B13.2.2/67,,,Lettre d'Augustine Seguin à Félix Mangini à propos des nouvelles qu'il donne de Paula et pour qu'ils se rendent à Paris voir Madame Lacombe,1869/1870,,REFPERS0016,,REFPERS0044,,,B13.2.2,,
rico:Record,B13.2.2/7,,,Lettre d'Augustine Seguin à sa fille Paula à propos des préparatifs des fêtes. Augustine demandes des nouvelles du nouveau rôle de maîtresse de maison à Paula et décrit sa visite à Élisabeth,1869/1870,,REFPERS0016,,REFPERS0020,,,B13.2.2,,
rico:Record,B13.2.2/8,,,Lettre d'Augustine Seguin à sa fille Paula à propos de 150 francs que Félix Mangini lui a envoyé contre une caisse de vêtements et nouvelles de la guerre,1869/1870,,REFPERS0016,,REFPERS0020,,,B13.2.2,,
rico:Record,B13.2.2/9,,,"Lettre d'Augustine Seguin à sa fille Paula à propos de la tournée d'affaires de Félix Mangini, du fait que Marc a le cerveau pris et rumine d'être renfermé, que les frères de Paula viennent causer avec lui de temps en temps et s'occupent à classer ses affaires, en attendant qu'ils reprennent leurs études la semaine prochaine",1869/1870,,REFPERS0016,,REFPERS0020,,,B13.2.2,,
rico:RecordSet,B13.2.3,Sous-dossier d'archives,,Lettre d'Augustine Seguin à Louise Mangini (s.d.),1869/1870,,,,,,,B13.2,,
rico:RecordSet,B13.2.4,Sous-dossier d'archives,,Lettres d'Étienne Seguin à ses parents,,1871,,,,,,B13.2,,
rico:Record,B13.2.4/1,,,Lettre d'Étienne Seguin à son père à propos de ce qu'il vit à la guerre,,1871-03-02,REFPERS0018,,REFPERS0002,,,B13.2.4,,
rico:Record,B13.2.4/2,,,Lettre d'Étienne Seguin à sa mère à propos de l'accouchement de Félicie et de son voyage à Naples,,,REFPERS0018,,REFPERS0016,,,B13.2.4,,
rico:RecordSet,B13.2.5,Sous-dossier d'archives,,Lettres de Louis Seguin à Paula,1867/1869,,,,,,,B13.2,,
rico:Record,B13.2.5/1,,,Lettre de Louis Seguin à Paula à propos de la fièvre de Louise,,1867-01-06,REFPERS0019,,REFPERS0020,,,B13.2.5,,
rico:Record,B13.2.5/2,,,"Lettre de Louis Seguin à Paula à propos de la fièvre de Louise, d'une visite de la soeur de Melle clémence, des cousines de Mauvant",,1869-01-08,REFPERS0019,,REFPERS0020,,,B13.2.5,,
rico:Record,B13.2.5/3,,,"Lettre de Louis Seguin à Paula à propos du voyage de paula à Paris, d'Étienne Mntgolfier qui quitte l'Ain pour aller étudier la fabrication du papier dans le nord",,1869-06-16,REFPERS0019,,REFPERS0020,,,B13.2.5,,
rico:RecordSet,B13.2.6,Sous-dossier d'archives,,"Lettres de Pauline Desgrand, née Seguin à Paula",1869/1870,,,,,,,B13.2,,
rico:Record,B13.2.6/1,,,"Lettre de Pauline Desgrand à Paula à propos des voeux de nouvelle année, du fait que Paula ait surmonté sa timidité, de son jour de l'an",,1869-01-08,REFPERS0009,,REFPERS0020,,,B13.2.6,,
rico:Record,B13.2.6/2,,,Lettre de Pauline Desgrand à Paula Seguin à propos de la santé de leurs parents,,1869-05-07,REFPERS0009,,REFPERS0020,,,B13.2.6,,
rico:Record,B13.2.6/3,,,"Lettre de Pauline Desgrand à Paula à propos des voeux de nouvelle année, de la maladie de Laurent et de Maria, de leurs séjours à Varagnes",,1870-01-08,REFPERS0009,,REFPERS0020,,,B13.2.6,,
rico:Record,B13.2.6/4,,,Lettre de Pauline Desgrand à Paula à propos des nouvelles que Paula a donné de Varagnes,,1870-04-07,REFPERS0009,,REFPERS0020,,,B13.2.6,,
rico:Record,B13.2.6/5,,,"Image religieuse dessinée de Thérèse pour Pauline Desgrand portant mention ""Si Pauline veut me prouver qu'elle m'aime elle conservera ce souvenir jusqu'à son retour et mettra en bas sa signature s'engageant à cela, Thérès ; Je te le promets, Pauline Seguin""",,,,Thérèse (de Montgolfier),REFPERS0009,,,B13.2.6,,
rico:RecordSet,B13.2.7,Sous-dossier d'archives,,"Lettres de Julie de Montgolfier, née Seguin à Paula",1868/1870,,,,,,,B13.2,,
rico:Record,B13.2.7/1,,,"Lettre de Julie de Montgolfier à Paula à propos de sa ""course déconfite de La Pérolière"", de la maladie d'Auguste, d'un tableau qu'elle a pein d'un Saint-Joseph",,1868-11-05,REFPERS0011,,REFPERS0020,,,B13.2.7,,
rico:Record,B13.2.7/2,,,Lettre de Julie de Montgolfier à Paula à propos d'une maladie de Félix,,1869-03-22,REFPERS0011,,REFPERS0020,,,B13.2.7,,
rico:Record,B13.2.7/3,,,Lettre de Julie de Montgolfier à Paula à propos des voeux de bonne année,,1870-01-10,REFPERS0011,,REFPERS0020,,,B13.2.7,,
rico:Record,B13.2.7/4,,,Lettre de Julie de Montgolfier à Paula à propos de la nomination de Félix au conseil général à nouveau,,1870-06-22,REFPERS0011,,REFPERS0020,,,B13.2.7,,
rico:Record,B13.2.7/5,,,"Lettre de Julie de Montgolfier à Paula à propos de la guerre et de ses fils enrolés. Auguste est au fort Bicètre, Henri en instruction, Raymond organise la garde nationale à Montbard",,1870-09-05,REFPERS0011,,REFPERS0020,,,B13.2.7,,
rico:RecordSet,B13.3,Dossier d'archives,,Correspondance avec la famille éloignée et les amis des Mangini (1853-années 1870),1853/1871,,,,,,,B13,,
rico:RecordSet,B13.3.1,Sous-dossier d'archives,,Lettres de J. Bugey aux Mangini,1858/1859,,,,,,,B13.3,,
rico:Record,B13.3.1/1,,,Lettre de Jenny (?) Bugey à Marie à propos du malheur que Marie traverses et nouvelles de diverses de leurs amies,,1858-05-02,,Jenny Bugey,REFPERS0047,,,B13.3.1,,
rico:Record,B13.3.1/2,,,"Lettre de Jenny (?) Bugey à madame Mangini à propos de l'achat de la Valsonnière, du mariage d'Odine et des noces d'autres jeunes filles de leur connaissance",,1859-05-09,,Jenny Bugey,REFPERS0046,,,B13.3.1,,
rico:RecordSet,B13.3.10,Sous-dossier d'archives,,Lettres de Claire ? à Paula et à Félicie,,1869,,,,,,B13.3,,
rico:Record,B13.3.10/1,,,Lettre de Claire ? à Paula pour la prier de l'excuser du retard de sa lettre et donner des nouvelles,,1869-05-18,,Claire,REFPERS0020,,,B13.3.10,,
rico:Record,B13.3.10/2,,,Lettre de Claire ? à Félicie à propos de leurs souvenirs communs à Évian,,1869,,Claire,REFPERS0023,,,B13.3.10,,
rico:RecordSet,B13.3.11,Sous-dossier d'archives,,Lettre de Francisque du Peloux à Madame Basset,,1859,,,,,,B13.3,,
rico:RecordSet,B13.3.12,Sous-dossier d'archives,,Lettres d'amis et de proches,1855/1871,,,,,,,B13.3,,
rico:Record,B13.3.12/1,,,Lettre de nouvelles d'amies,,1858-02-24,,Sophie Reyman,,Madame Mangini,,B13.3.12,,
rico:Record,B13.3.12/10,,,Lettre de nouvelles d'amies,1855/1871,,,B. Lynard,REFPERS0020,,,B13.3.12,,
rico:Record,B13.3.12/11,,,Lettre de nouvelles d'amies,1855/1871,,,Augustine Bous,,Madame Mangini,,B13.3.12,,
rico:Record,B13.3.12/12,,,Lettre de nouvelles d'amies,1855-03-14/1871-03-14,,,Antoni Balaÿ,,Madame Mangini,,B13.3.12,,
rico:Record,B13.3.12/13,,,Lettre de nouvelles d'amies,1855-01-04/1871-01-04,,,L. Chais,REFPERS0020,,,B13.3.12,,
rico:Record,B13.3.12/14,,,Lettre de nouvelles d'amies,1855-12-21/1871-12-21,,,P. Bonnon,REFPERS0020,,,B13.3.12,,
rico:Record,B13.3.12/15,,,Lettre de nouvelles d'amies,1855-06-07/1871-06-07,,,B. Lynard,REFPERS0020,,,B13.3.12,,
rico:Record,B13.3.12/16,,,Lettre de nouvelles d'amies,,1869-06-27,,Thérèse (de Montgolfier),REFPERS0020,,,B13.3.12,,
rico:Record,B13.3.12/17,,,Lettre de nouvelles d'amies,,,,B. de Montgolfier,REFPERS0020,,,B13.3.12,,
rico:Record,B13.3.12/18,,,Lettre de nouvelles d'amies,,1869-09-06,,L. P.,REFPERS0020,,,B13.3.12,,
rico:Record,B13.3.12/19,,,Lettre de nouvelles d'amies,,1857-07-21,,Lydie Luquet de Saint-Germain née de Montgolfier,,Madame Mangini,,B13.3.12,,
rico:Record,B13.3.12/2,,,Lettre de nouvelles d'amies,,1859-07-26,,E. Chomé,,Madame Mangini,,B13.3.12,,
rico:Record,B13.3.12/20,,,Lettre de nouvelles d'amies,,1858-01-24,,Anaïs Rivoyre,,Madame Mangini,,B13.3.12,,
rico:Record,B13.3.12/21,,,Lettre de nouvelles d'amies,,1858-04-28,,Soeur Louise,,Madame Mangini,,B13.3.12,,
rico:Record,B13.3.12/22,,,Lettre de nouvelles d'amies,,,,Francisque Aynard,REFPERS0020;REFPERS0044,,,B13.3.12,,
rico:Record,B13.3.12/23,,,Lettre de nouvelles d'amies,,1862-04-01,,,,Madame Mangini,,B13.3.12,,
rico:Record,B13.3.12/24,,,Lettre de nouvelles d'amies,,1859-03-08,,Lucie Dufournel,REFPERS0046,,,B13.3.12,,
rico:Record,B13.3.12/25,,,Lettre à propos de soutien à Marie après la perte de son fils,,1859-07-25,,Sophie Dervieu,REFPERS0047,,,B13.3.12,,
rico:Record,B13.3.12/26,,,Lettre à propos de soutien à Marie après la perte de son fils,,1859-08-15,,Victorine Mercier,REFPERS0047,,,B13.3.12,,
rico:Record,B13.3.12/27,,,Lettre à propos de la perte de la fille de Lucien,,1870-02-01,,Portet,REFPERS0046,,,B13.3.12,,
rico:Record,B13.3.12/28,,,Lettre à propos de l'éventuelle venue des Mangini en Savoie,,,,Eugénie Chesnel,REFPERS0046,,,B13.3.12,,
rico:Record,B13.3.12/29,,,"Lettre à propos de l'absence des dames Mangini de Cassis, de l'inquiétude que cela a créé chez Élisa Jossereaux qui demande des nouvelles",,,,Élisa Jossereaux,REFPERS0046,,,B13.3.12,,
rico:Record,B13.3.12/3,,,Lettre de nouvelles d'amies,,1869-09-14,,,,Madame Mangini,,B13.3.12,,
rico:Record,B13.3.12/30,,,Lettre de nouvelles d'amies,,,,Marie Dufournet,,Madame Mangini,,B13.3.12,,
rico:Record,B13.3.12/31,,,Lettre de nouvelles d'amies,,,,L. Vve Veyssière,REFPERS0020,,,B13.3.12,,
rico:Record,B13.3.12/32,,,Lettre de nouvelles d'amies,,,,L. Vve Veyssière,REFPERS0020,,,B13.3.12,,
rico:Record,B13.3.12/33,,,Lettre à propos de la perte de son petit-fils,,,,Maria Lambert,REFPERS0046,,,B13.3.12,,
rico:Record,B13.3.12/34,,,Lettre de proposition d'arrangement du mariage de la seconde fille des Mangini avec le fils de la baronne de Lambert,,1855-07-29,,Maria Amphant,REFPERS0046,,,B13.3.12,,
rico:Record,B13.3.12/35,,,Lettre à propos de la perte d'un enfant dans sa belle-famille,,1869-02-04,,Élise Vadon,REFPERS0020,,,B13.3.12,,
rico:Record,B13.3.12/36,,,Lettre de nouvelles d'amies,,1858-05-05,,,REFPERS0020,,,B13.3.12,,
rico:Record,B13.3.12/37,,,Extrait de lettre pour demander à Paula une commission concernant des peaux de cygne,,1868-12-29,,,REFPERS0020,,,B13.3.12,,
rico:Record,B13.3.12/38,,,Lettre de remerciement pour un cadeau,,,,Henriette,,Madame Mangini,,B13.3.12,,
rico:Record,B13.3.12/39,,,Lettre à propos de la perte de sa nièce,,,,L. Vve Veyssière,REFPERS0020,,,B13.3.12,,
rico:Record,B13.3.12/4,,,Lettre de nouvelles d'amies,,1859-07-27,,L. Luquet,,Madame Mangini,,B13.3.12,,
rico:Record,B13.3.12/40,,,Lettre de nouvelles d'amies,,1869-09-12,,Clémence Péli,REFPERS0020,,,B13.3.12,,
rico:Record,B13.3.12/41,,,Lettre de nouvelles de M. Mangini,,1859-12-16,,Thérèse Cuty,REFPERS0046,,,B13.3.12,,
rico:Record,B13.3.12/42,,,Lettre de voeux de nouvelle année,,1859-01-06,,Thérèse Cuty,REFPERS0046,,,B13.3.12,,
rico:Record,B13.3.12/5,,,Lettre de nouvelles d'amies,,1871-02-28,,A. Delafond,REFPERS0044,,,B13.3.12,,
rico:Record,B13.3.12/6,,,Lettre de nouvelles d'amies,1855/1871,,,,,Madame Mangini,,B13.3.12,,
rico:Record,B13.3.12/7,,,Lettre de nouvelles d'amies,1855/1871,,,L. Plene,,Madame Mangini,,B13.3.12,,
rico:Record,B13.3.12/8,,,Lettre de nouvelles d'amies,1855-05-06/1871-05-06,,,Eugénie Chesnel,REFPERS0023,,,B13.3.12,,
rico:Record,B13.3.12/9,,,Lettre de nouvelles d'amies,1855/1871,,,Anirancie,,Madame Mangini,,B13.3.12,,
rico:RecordSet,B13.3.2,Sous-dossier d'archives,,Lettres de Marie Givord à Marie Balaÿ (s.d.),,,,,,,,B13.3,,
rico:Record,B13.3.2/1,,,"Lettre de Marie Givord à Marie Balaÿ à propos de leur correspondance, du départ probable de Marie Balaÿ d'Évian",,,,Marie Givord,REFPERS0047,,,B13.3.2,,
rico:Record,B13.3.2/2,,,"Lettre de Marie Givord à Marie Balaÿ et Félicie Seguin à propos de la santé de sa mère, du départ de Marie Balaÿ loin de Félicie, d'une pèche qu'Antoinette propose à Félicie",,,,Marie Givord,REFPERS0047;REFPERS0027,,,B13.3.2,,
rico:RecordSet,B13.3.3,Sous-dossier d'archives,,Lettres des Rouveur aux Mangini (s.d.),,,,,,,,B13.3,,
rico:RecordSet,B13.3.4,Sous-dossier d'archives,,Lettres de Lydie Luquet à Paula,1856/1869,,,,,,,B13.3,,
rico:Record,B13.3.4/1,,,"Lettre de Lydie Luquet à Paula à propos de ses voeux de nouvelle année qui se plaint de la distance entre elle et ses enfants, alors que Paula se déplace souvent voir ses parents à varagnes ""malgré l'état fâcheux de santé du pauvre monsieur Mangini qui attire bien souvent ses fils à la Pérolière"" et nouvelles de santé",,1869-01-11,,Lydie Luquet de Saint-Germain née de Montgolfier,REFPERS0020,,,B13.3.4,,
rico:Record,B13.3.4/2,,,"Lettre de Félix Mangini à son père Lazare Mangini à propos de ses palpitations au coeur, ses espoirs d'entrer à l'école polytechnique",,1856-03-16,REFPERS0044,,REFPERS0043,,,B13.3.4,,
rico:RecordSet,B13.3.5,Sous-dossier d'archives,,"Lettres d'Élie de Montgolfier et de ses filles à Louise Mangini, née Roland",,1853,,,,,,B13.3,,
rico:RecordSet,B13.3.6,Sous-dossier d'archives,,Lettres de Jenny de Montgolfier à Paula (s.d.),,,,,,,,B13.3,,
rico:RecordSet,B13.3.7,Sous-dossier d'archives,,Lettres de la Veuve Balaÿ à Madame Mangini,,1858,,,,,,B13.3,,
rico:Record,B13.3.7/1,,,Lettre de la Veuve Balaÿ à Madame Mangini pour la remercier de ses bons voeux et souhaiter le meilleur à leurs enfants ; avec une enveloppe adressée à Evian,,1858-04-18,,Veuve Balaÿ,REFPERS0046,,,B13.3.7,,
rico:Record,B13.3.7/2,,,Lettre de la Veuve Balaÿ à Madame Mangini pour lui annoncer le départ de sa fille Marie,,,,,,,,B13.3.7,,
rico:RecordSet,B13.3.8,Sous-dossier d'archives,,Lettres d'Adèle Dupasquier aux Mangini (s.d.),,,,,,,,B13.3,,
rico:Record,B13.3.8/1,,,"Lettre d'Adèle Dupasquier à Félix Mangini à propos de la maladie de sa mère, du départ des enfants pour Saint-Bonnet",,,,Adèle Dupasquier,REFPERS0044,,,B13.3.8,,
rico:Record,B13.3.8/2,,,Lettre d'Adèle Dupasquier à Félix Mangini pour se donner des nouvelles,,,,Adèle Dupasquier,REFPERS0023,,,B13.3.8,,
rico:RecordSet,B13.3.9,Sous-dossier d'archives,,Lettres de Marguerite de Montgolfier à Paula,1869/1870,,,,,,,B13.3,,
rico:Record,B13.3.9/1,,,Lettre de Marguerite de Montgolfier à Paula pour qu'elles se voient à Lyon,,,REFPERS0024,,REFPERS0020,,,B13.3.9,,
rico:Record,B13.3.9/2,,,"Lettre de Marguerite de Montgolfier à Paula à propos du séjour qu'elles ont passé ensembl 15 joours auparavant, des messieurs trop occupés et des nouvelles de diverses personnes",,1869-05-06,REFPERS0024,,REFPERS0020,,,B13.3.9,,
rico:Record,B13.3.9/3,,,"Lettre de Marguerite de Montgolfier à Paula à propos du bal qu'a organisé Paula, de sa solitude et des nouvelles de diverses personnes",,1869-07-17,REFPERS0024,,REFPERS0020,,,B13.3.9,,
rico:Record,B13.3.9/4,,,Lettre de Marguerite de Montgolfier à Paula à propos de sa fête et du cadeau fait par Paula à Marguerite,,1869-07-26,REFPERS0024,,REFPERS0020,,,B13.3.9,,
rico:Record,B13.3.9/5,,,Lettre de Paula (?) à Marguerite de Montgolfier qui se sont loupées à l'hôtel et d'un déjeuner à organiser,,,REFPERS0020,,REFPERS0024,,,B13.3.9,,
rico:Record,B13.3.9/6,,,Lettre de Marguerite de Montgolfier à Paula pour souhaiter bonne fête à Paula,,,REFPERS0024,,REFPERS0020,,,B13.3.9,,
rico:Record,B13.3.9/7,,,"Lettre de Marguerite de Montgolfier à Paula à propos de la correspondance avec Paula, d'un moment passé avec les petites soeurs de Paula et diverses nouvelles de la famille",,1870-01-23,REFPERS0024,,REFPERS0020,,,B13.3.9,,
rico:RecordSet,B14,Sous-série d'archives,,Correspondance d'affaires des Mangini,1847/1872,,,,,,,B13-B15,Bureau de Marc Seguin Travée 2 étagère 7,
rico:RecordSet,B14.1,Dossier d'archives,,"Lettres de médecin, d'ecclésiastiques aux Mangini",1858/1860,,,,,,,B14,,
rico:RecordSet,B14.1.1,Sous-dossier d'archives,,Lettres reçues par Madame Mangini de la part d'ecclésiastiques,,1858,,,,,,B14.1,,
rico:Record,B14.1.1/1,,,"Lettre du père Gay, curé de Saint Genis l'Argentière à Madame Mangini à propos de la location des places dans l'église (55 francs)",,1858-12-26,,"Père Gay, curé de Saint Genis l'Argentière",,,,B14.1.1,,
rico:Record,B14.1.1/2,,,"Lettre du père Gay, curé de Saint Genis l'Argentière à Madame Mangini à propos de la maladie (fièvre typhoïde ?) de Monsieur Mangini qui retient la famille à Lyon",,,,"Père Gay, curé de Saint Genis l'Argentière",,,,B14.1.1,,
rico:Record,B14.1.1/3,,,"Lettre du père Gay, curé de Saint Genis l'Argentière à Madame Mangini à propos d'une importante cérémonie (un mariage ?) qui va avoir lieu, des traditions religieuses",,,,"Père Gay, curé de Saint Genis l'Argentière",,,,B14.1.1,,
rico:Record,B14.1.1/4,,,"Lettre du père Rézy, abbé à Madame Mangini à propos de la maladie de Félix, de son propre froid qu'il a attrapé après avoir quitté les Mangini à Lyon",,,,"Père Rézy, abbé",,,,B14.1.1,,
rico:Record,B14.1.1/5,,,Lettre de réponse à l'invitation au mariage de Marie,,1858-04-11,,"Soeur Eugénie, fille de la charité",,Madame Mangini,,B14.1.1,,
rico:Record,B14.1.1/6,,,Lettre à propos des nappes (travail de blanchisserie ?),,1858-04-26,,Soeur Marchand,,Madame Mangini,,B14.1.1,,
rico:Record,B14.1.1/7,,,"Lettre pour demander des nouvelles de Marie après son mariage, de sa propore profession de foi",,1858-09-17,,Soeur Théola,REFPERS0046,,,B14.1.1,,
rico:Record,B14.1.1/8,,,Lettre du père Berger à propos de la santé et de l'avancement scolaire d'Henri et de la perte de la fille de l'une des Mangini,,,,"Père Berger, curé",,,,B14.1.1,,
rico:RecordSet,B14.1.2,Sous-dossier d'archives,,"Lettres de M. Philippain, médecin, à Louise Mangini",,1860,,,,,,B14.1,,
rico:Record,B14.1.2/1,,,Lettre de Philippain (?) à Madame Mangini à propos d'un traitement à distance contre la goutte pour Monsieur Mangini (Lazare Mangini),,1860-09-09,,Docteur Philippain,REFPERS0046,,,B14.1.2,,
rico:Record,B14.1.2/2,,,Lettre de Philippain (?) à Madame Mangini à propos d'un traitement à distance contre la goutte pour Monsieur Mangini (Lazare Mangini),,1860-09-13,,Docteur Philippain,REFPERS0046,,,B14.1.2,,
rico:Record,B14.1.2/3,,,Lettre de Philippain (?) à Madame Mangini à propos d'un traitement à distance contre la goutte pour Monsieur Mangini (Lazare Mangini),,1860-09-20,,Docteur Philippain,REFPERS0046,,,B14.1.2,,
rico:Record,B14.1.2/4,,,Lettre de Philippain (?) à Madame Mangini à propos d'un traitement à distance contre la goutte pour Monsieur Mangini (Lazare Mangini),,1860-10-06,,Docteur Philippain,REFPERS0046,,,B14.1.2,,
rico:RecordSet,B14.2,Dossier d'archives,,Lettres d'affaires des Mangini,1847/1872,,,,,,,B14,,
rico:RecordSet,B14.2.1,Sous-dossier d'archives,,"Lettres d'employés, de placements, de charité et d'achats reçues par les Mangini",1853/1872,,,,,,,B14.2,,
rico:Record,B14.2.1/1,,,Lettre à propos d'un maçon pour la chaudière,,1853-01-21,,M. Bajord,REFPERS0043;REFPERS0045,,,B14.2.1,,
rico:Record,B14.2.1/10,,,"Lettre de Requiers expliquant que le père Pascal s'est cassé une jambe sur les travaux du chemin de fer de Marseilles à Toulon et pour demander un soutien financier pour la famille de ce Pascal dont il est le loguer, il a déjà écrit à Monsieur Mangini mais est resté sans réponse.",,1859-08-23,,"Requiers, officier retraité de génie civil",,Madame Mangini,,B14.2.1,,
rico:Record,B14.2.1/11,,,"Lettre de Guillot, tonnelier, à M. le maire concernant une affaire de prêt d'argent qu'il a avec M. Cozona, il demande alors au maire des informations sur la femme Cozona, fille Tabard",,1868-03-18,,"Guillot, tonnelier",REFPERS0043;REFPERS0045,,,B14.2.1,,
rico:Record,B14.2.1/12,,,Lettre de A. Félix (?) adressée à paula pour demander à son mari quelle charrue pour vigne il conseille,,1869-02-14,,A. Félix,REFPERS0020,,,B14.2.1,,
rico:Record,B14.2.1/13,,,Lettre de la femme Robert qui demande un entretien,,1869-09-29,,Femme Robert,,Madame Mangini,,B14.2.1,,
rico:Record,B14.2.1/14,,,Lettre en italien dont l'auteur s'excuse de ne pouvoir visiter Madame Mangini à cause du mal de dents de sa fille et qui promet de venir dès que la maladie de sa fille sera guérie,,1869-11-15,,Marsenga,,Madame Mangini,,B14.2.1,,
rico:Record,B14.2.1/15,,,Lettre pour la remercier de sa charité et lui expliquer ce qu'ils ont fait de l'argent qu'elle leur avait remis,,1869-11-19,,J. Vernoy,,Madame Mangini,,B14.2.1,,
rico:Record,B14.2.1/16,,,"Lettre à propos du changement de couleur du bonnet que Madame Mangini est en train de faire confectionner, du rouge au noir pour le deuil de M. de Roland, beau-frère de Ferdinand Seguin",,1870-03-26,,Clémence Péli,REFPERS0020,,,B14.2.1,,
rico:Record,B14.2.1/17,,,Lettre à propos d'un retard dans la confection de la garniture d'autel commandée par Madame Mangini,,1870-01-26,,Y. Bermond,,Madame Mangini,,B14.2.1,,
rico:Record,B14.2.1/18,,,Lettre de demande de travail d'une femme qui vient de sortir de couches et doit nourrir ses enfants et sa mère malade,,1872-05-16,,femme Fongeallaz,REFPERS0045,,,B14.2.1,,
rico:Record,B14.2.1/19,,,Lettre de l’employé D. Cloz pour toucher une prime qui lui est due pour son travail lorsqu’il officiait comme vérificateur aux ateliers du chemin de fer de Dombes dont Seguin était administrateur,,1872-05-24,,D. Cloz,REFPERS0017,,,B14.2.1,,
rico:Record,B14.2.1/2,,,Lettre de solde d'un prêt d'argent,,1853-12-09,,Renaud,REFPERS0043;REFPERS0045,,,B14.2.1,,
rico:Record,B14.2.1/20,,,Lettre à propos du legs Gauthier,,,,Blanc,,"M. Laurent, maire",,B14.2.1,,
rico:Record,B14.2.1/21,,,Lettre d'une femme infirme pour demander secours,,,,Louise Cortenis,,M. de Montgenis,,B14.2.1,,
rico:Record,B14.2.1/22,,,Lettre d'acceptation,,,,C. Filot,REFPERS0043;REFPERS0045,,,B14.2.1,,
rico:Record,B14.2.1/23,,,Lettre d'un artisan-commerçant qui annonce son arrivée,,,,,REFPERS0017,,,B14.2.1,,
rico:Record,B14.2.1/24,,,Lettre de facture,,,,Vve Debos,,Madame Mangini,,B14.2.1,,
rico:Record,B14.2.1/25,,,Lettre de facture pour avoir une avance de paiement,,,,Vve Debos,,Madame Mangini,,B14.2.1,,
rico:Record,B14.2.1/3,,,Lettre d'aveu d'une affaire d'obligation véreuse et non payée qui a eu lieu en 1842 et de demande d'aide financière,,1856-05-06,,M. Mathieu,REFPERS0043;REFPERS0045,,,B14.2.1,,
rico:Record,B14.2.1/4,,,Lettre de sollicitation pour un travail,,1857-06-10,,M.A.F. Pitiot,REFPERS0043;REFPERS0045,,,B14.2.1,,
rico:Record,B14.2.1/5,,,Lettre d'acceptation de l'offre que Monsieur Mangini à faite à Rave de le rejoindre dans les travaux de Marseille,,1857-09-23,,Rave,REFPERS0043;REFPERS0045,,,B14.2.1,,
rico:Record,B14.2.1/6,,,Lettre de demande de placement parmi la domesticité des Mangini,,1858-04-07,,"Marie Pallay, née Peillon",,,,B14.2.1,,
rico:Record,B14.2.1/7,,,Lettre de placement de son fils Alphonse aux chemins de fer de Lyon,,1858-12-09,,,,Madame Mangini,,B14.2.1,,
rico:Record,B14.2.1/8,,,"Lettre de Désignang concernant la démission d'Alphonse Shwich aux forges de la Loire et de l'Ardèche à Vienne en conséquence ""des procédés injustes"" de M. Bouchaud, syndic général de la compagnie et demande à Lucien Mangini de lui trouver une place",,1859-04-13,,M. Désignand,REFPERS0045,,,B14.2.1,,
rico:Record,B14.2.1/9,,,Lettre à propos d'une prise d'eau sur son terrain de Saint Genis,,1859-05-25,,Antoine et Benoît Tisseur,REFPERS0043;REFPERS0045,,,B14.2.1,,
rico:RecordSet,B14.2.10,Sous-dossier d'archives,,Diverses lettres reçues par Lazare Mangini liées aux chemins de fer,1859/1862,,,,,,,B14.2,,
rico:Record,B14.2.10/1,,,"Lettre de Louis Magloire Cottard, maire de la Ciotat à Monsieur Mangini pour demande d'aide charitable à la réfection de l'orphelinat de l'hospice de la Ciotat après que Mangini ait fait envoyer ses ouvriers dans l'hôpital de la Ciotat",,1859-04-17,,"Louis Magloire Cottard, maire de la Ciotat",REFPERS0043;REFPERS0045,,,B14.2.10,,
rico:Record,B14.2.10/2,,,Lettre de demande où se trouve M. Mangini,,1859-08-03,,"Duminois , ingénieur de la compagnie d'Orléans",REFPERS0043,,,B14.2.10,,
rico:Record,B14.2.10/3,,,"Lettre de proposition d'un anonyme dont la position l'empêche de communiquer son nom comme son adresse à M. Mangini de lui ""faire obtenir ici, en Italie, non pas un mais plusieurs travaux soit comme entrepreneur général d'une ligne de chemin de fer, soit comme entrepreneur général de tout autres travaux""",,1862-07-08,,L.C.,REFPERS0043,,,B14.2.10,,
rico:Record,B14.2.10/4,,,Lettre d'excuse pour retard,,,,,REFPERS0043,,,B14.2.10,,
